table,variable,label,description
Imaging,norm_white,Proportion of White Matter in Intracranial Volume,Total white matter volume (mm3) divided by total intracranial volume (mm3)
Imaging,norm_lhippo,Proportion of Left Hippocampus in Intracranial Volume,Left hippocampus volume (mm3) divided by total intracranial volume (mm3)
Imaging,norm_rhippo,Proportion of Right Hippocampus in Intracranial Volume,Right hippocampus volume (mm3) divided by total intracranial volume (mm3)
Imaging,total_icv,Total Intracranial Volume,Total Intracranial Volume (mm3)
Imaging,total_gray,Total Gray Matter Volume,Total Gray Matter Volume (mm3)
Imaging,total_white,Total White Matter Volume,Total White Matter Volume (mm3)
Imaging,total_lhippo,Total Left Hippocampus Volume,Total Left Hippocampus Volume (mm3)
Imaging,total_rhippo,Total Right Hippocampus Volume,Total Right Hippocampus Volume (mm3)
Imaging,rspcc_dmnmask,Default Mode Network Connectivity to the Posterior Cingulate Cortex,Average resting state connectivity within the default mode network to the posterior cingulate cortex.
Imaging,rspcc_mpfc,Posterior Cinguate Cortex Connectivity to the Medial Prefrontal Cortex,Average resting state connectivity between the posterior cingulate cortex and the medial prefrontal cortex.
Imaging,rspcc_lpar,Posterior Cinguate Cortex Connectivity to the Left Parietal,Average resting state connectivity between the posterior cingulate cortex and the left parietal.
Imaging,rspcc_rpar,Posterior Cinguate Cortex Connectivity to the Right Parietal,Average resting state connectivity between the posterior cingulate cortex and the right parietal.
Imaging,dti_fa,Fractional Anisotropy of White Matter Tracts,Average fractional anisotropy of all white matter tracts of interest
Imaging,dti_md,Mean Diffusivity of White Matter Tracts,Average mean diffusivity of all white matter tracts of interest.
Imaging,pcasl,Cerbral Blood Flow in the Gray Matter,Average cerebral blood flow in total gray matter.
Oxygen Kinetics Meta,id,Participant ID,Participant ID ranging from 1301 to 2414.
Oxygen Kinetics Meta,timepoint,Timepoint,Measurement time period ranging from 1 (baseline) to 5 (12 months) in 3-month increments (1: Baseline; 2: 3 Months; 3: 6 Months; 4: 9 Months; 5: 12 Months).
Oxygen Kinetics Meta,start_time,Peak Exercise Test Start Time,The start time of the peak exercise test in 24-hour time format.
Oxygen Kinetics Meta,room_temperature,Room Temparture in Celsius,The room temperature in Celsius at the beginning of the peak exercise test.
Oxygen Kinetics Meta,barometric_pressure,Room Air Pressure in Millimeters of Mercury,A measure of the air pressure (mmHg) in the room at the beginning of the peak exercise test
Oxygen Kinetics Meta,room_humidity,Room Humidity Percentage,The percent room humidity at the beginning of the peak exercise test.
Oxygen Kinetics Meta,o2_measured,Standard Gases: Measured Oxygen,The measured oxygen at the beginning of the peak exercise test (standard is 20.94%)
Oxygen Kinetics Meta,co2_measured,Standard Gases: Measured Carbon Dioxide,The measured carbon dioxide at the beginning of the peak exercise test (standard is 0.04%)
Oxygen Kinetics,id,Participant ID,Participant ID ranging from 1301 to 2414.
Oxygen Kinetics,timepoint,Timepoint,Measurement time period ranging from 1 (baseline) to 5 (12 months) in 3-month increments (1: Baseline; 2: 3 Months; 3: 6 Months; 4: 9 Months; 5: 12 Months).
Oxygen Kinetics,predicted_max_hr,Age-Estimated Maximum Heart Rate,Age-estimated maximum heart rate in beats per minute using 210 - (0.56 x age) - 31.
Oxygen Kinetics,measured_peak_hr,Measured Peak Heart Rate,Measured peak heart rate in beats per minute when peak oxygen consumption was reached.
Oxygen Kinetics,speed,Treadmill Starting Speed,Starting speed of the treadmill in mph ranging from 1 to 3 mph.
Oxygen Kinetics,incline,Treadmill Ending Incline,Percent incline of the treadmill when peak oxygen consumption was reached.
Oxygen Kinetics,time_to_peak,Time to Peak Oxygen Consumption in Seconds,The time elapsed in seconds from the beginning of the test to when peak oxygen consumption was reached.
Oxygen Kinetics,vo2_l_min,Volume of Oxygen in Liters Per Minute,Volume of oxygen consumption in liters per minute.
Oxygen Kinetics,vo2_ml_kg_min,Volume of Oxygen in Milliliters Per Minute Adjusted for Body Weight in Kilograms,Volume of oxygen consumption in milliliters per minute adjusted for body weight in kilograms.
Oxygen Kinetics,rer,Respiratory Exchange Ratio,The highest respiratory exchange ratio (also called respiratory quotient) reached during the peak exercise test.
Oxygen Kinetics,criteria_exhaustion,Reached Volitional Exhaustion,Participant reached volitional exhaustion (0: No; 1: Yes).
Oxygen Kinetics,criteria_hr10,Achieved Heart Rate Criteria,Participant achieved a measured peak heart rate less than or equal to 10 beats per minute from their age-estimated maximum heart rate (0: No; 1: Yes).
Oxygen Kinetics,criteria_rer,Achieved Respiratory Exchange Ratio Criteria,Participant reached a respiratory exchange ratio greater than or equal to 1.0 during the peak oxygen consumption test (0: No; 1: Yes).
Oxygen Kinetics,valid_peak_test,Valid Peak Oxygen Consumption Test,A valid peak oxygen consumption test determined by volitional exhaustion and either a respiratory exchange ratio greater than or equal to 1.0 during the peak oxygen consumption test or a measured heart rate less than or equal to 10 beats per minute from their age-estimated maximum heart rate (0: No; 1: Yes).
Physical Activity Day,id,Participant ID,Participant ID ranging from 1301 to 2414.
Physical Activity Day,timepoint,Timepoint,Measurement time period ranging from 1 (baseline) to 5 (12 months) in 3-month increments (1: Baseline; 2: 3 Months; 3: 6 Months; 4: 9 Months; 5: 12 Months).
Physical Activity Day,days,Day of Observation,The day of observation for the accelerometer ranging from 1 to 7.
Physical Activity Day,weekday,Day of the Week,The day of the week.
Physical Activity Day,season,Astronomical Season,United States' astronomical season (Winter: December 22 - March 19; Spring: March 20 - June 20; Summer: June 21 - September 22; Fall: September 23 - December 21)
Physical Activity Day,counts,Vertical Axis Counts,"Vertical axis counts (i.e., a unitless measure of movement intensity) from the Y-axis of the ActiGraph GT3X-BT portable accelerometer."
Physical Activity Day,vmc,Vector Magnitude Counts,"Vector magnitude counts from the ActiGraph GT3X-BT portable accelerometer calculated as the square root of the sum of the squares from the X, Y, and Z accelerometer axes."
Physical Activity Day,steps,Steps,The number of steps detected by the accelerometer using ActiGraph's default step detection algorithm.
Physical Activity Day,wear_time,Wear Time,The number of minutes that a participant wore the accelerometer using the Choi et al. wear time algorithm using 90-minute windows and a 2-minute allowance for non-wear time interruptions.
Physical Activity Day,sedentary,Sedentary Time,Minutes of sedentary time (less than 100 vertical counts per minute)
Physical Activity Day,light,Light Physical Activity,Minutes of light physical activity (greater than or equal to 101 and less than 2020 counts per minute)
Physical Activity Day,moderate,Moderate Physical Activity,Minutes of moderate physical activity (greater than or equal to 2020 and less than 5999 counts per minute)
Physical Activity Day,vigorous,Vigorous Physical Activity,Minutes of vigorous physical activity (greater than or equal to 5999 counts per minute)
Physical Activity Day,mvpa,Moderate-to-Vigorous Physical Activity,Minutes of moderate-to-vigorous physical activity (greater than or equal to 2020 counts per minute)
Physical Activity Person,id,Participant ID,Participant ID ranging from 1301 to 2414.
Physical Activity Person,timepoint,Timepoint,Measurement time period ranging from 1 (baseline) to 5 (12 months) in 3-month increments (1: Baseline; 2: 3 Months; 3: 6 Months; 4: 9 Months; 5: 12 Months).
Physical Activity Person,counts,Vertical Axis Counts,"Vertical axis counts (i.e., a unitless measure of movement intensity) from the Y-axis of the ActiGraph GT3X-BT portable accelerometer."
Physical Activity Person,vmc,Vector Magnitude Counts,"Vector magnitude counts from the ActiGraph GT3X-BT portable accelerometer calculated as the square root of the sum of the squares from the X, Y, and Z accelerometer axes."
Physical Activity Person,steps,Steps,The number of steps detected by the accelerometer using ActiGraph's default step detection algorithm.
Physical Activity Person,wear_time,Wear Time,The number of minutes that a participant wore the accelerometer using the Choi et al. wear time algorithm using 90-minute windows and a 2-minute allowance for non-wear time interruptions.
Physical Activity Person,sedentary,Sedentary Time,Minutes of sedentary time (less than 100 vertical counts per minute)
Physical Activity Person,light,Light Physical Activity,Minutes of light physical activity (greater than or equal to 101 and less than 2020 counts per minute)
Physical Activity Person,moderate,Moderate Physical Activity,Minutes of moderate physical activity (greater than or equal to 2020 and less than 5999 counts per minute)
Physical Activity Person,vigorous,Vigorous Physical Activity,Minutes of vigorous physical activity (greater than or equal to 5999 counts per minute)
Physical Activity Person,mvpa,Moderate-to-Vigorous Physical Activity,Minutes of moderate-to-vigorous physical activity (greater than or equal to 2020 counts per minute).
Physical Activity Person,valid_days,Number of Valid Days,Number of valid days using a wear time criteria of 480 minutes per day.
Physical Activity Person,valid_weekend_days,Number of Valid Weekend Days,Number of valid weekend days using a wear time criteria of 480 minutes per day.
Randomization,id,Participant ID,Participant ID ranging from 1301 to 2414.
Randomization,cohort,Cohort,Cohort number enrolling in the study ranging from 1-4.
Randomization,strata,Strata,Stratification prior to randomization (1: Female less than or equal to 30 years; 2: Female greater than 30 years; 3: Male less than or equal to 30 years; 4: Female greater than 30 years)
Randomization,randomization,Randomization,Randomization group (1: Remote High; 2: Remote Low; 3: Health Coach Only)
